director_name,actor_2_name,actor_1_name,movie_title,actor_3_name
Frank Oz,Adam Alexi-Malle,Robert Downey Jr.,Bowfinger ,Jamie Kennedy
,,,,
Quentin Tarantino,Michael Parks,Vivica A. Fox,Kill Bill: Vol. 2 ,Michael Bowen
Andrey Konchalovskiy,Jack Palance,Sylvester Stallone,Tango & Cash ,Brion James
Robert Zemeckis,Meryl Streep,Bruce Willis,Death Becomes Her ,Isabella Rossellini
Tom Dey,Jason Connery,Xander Berkeley,Shanghai Noon ,Kate Luyben
Stuart Baird,Joe Morton,Oliver Platt,Executive Decision ,J.T. Walsh
Mark Waters,Ophelia Lovibond,Madeline Carroll,Mr. Popper's Penguins ,Philip Baker Hall
Rob Minkoff,Thomas McDonell,Jet Li,The Forbidden Kingdom ,Michael Angarano
Jimmy Hayward,Carlos Ponce,Amy Poehler,Free Birds ,Dan Fogler
David Fincher,Holt McCallany,Charles S. Dutton,Alien 3 ,Paul McGann
Alan Parker,Jimmy Nail,Andrea Corr,Evita ,Peter Polycarpou
John Frankenheimer,Natascha McElhone,Robert De Niro,Ronin ,Michael Lonsdale
Stephen Hopkins,Bernard Hill,Tom Wilkinson,The Ghost and the Darkness ,Om Puri
Paul King,Matt Lucas,Julie Walters,Paddington ,Sally Hawkins
Akiva Schaffer,Nicholas Braun,Will Forte,The Watch ,Rosemarie DeWitt
William Friedkin,Jenna Boyd,Connie Nielsen,The Hunted ,Rex Linn
Jon Turteltaub,Maura Tierney,Anthony Hopkins,Instinct ,John Ashton
Bobby Farrelly,Terence Bernie Hines,Matt Damon,Stuck on You ,Seymour Cassel
Kent Alterman,Maura Tierney,Will Ferrell,Semi-Pro ,Matt Walsh
Peter Lord,Russell Tovey,Salma Hayek,The Pirates! Band of Misfits ,Brian Blessed
Clint Eastwood,Michael Kelly,Angelina Jolie Pitt,Changeling ,Colm Feore
Andrew Davis,Morgan Freeman,Keanu Reeves,Chain Reaction ,Kevin Dunn
Tony Scott,Kurt Fuller,Robert De Niro,The Fan ,Ellen Barkin
Joel Schumacher,Minnie Driver,Gerard Butler,The Phantom of the Opera ,Miranda Richardson
Shekhar Kapur,Abbie Cornish,Eddie Redmayne,Elizabeth: The Golden Age ,Jordi Mollà
Karyn Kusama,Sophie Okonedo,Charlize Theron,Æon Flux ,Paterson Joseph
Ron Maxwell,Bruce Boxleitner,Billy Campbell,Gods and Generals ,John Castle
Robert Butler,Lauren Holly,Hector Elizondo,Turbulence ,Jeffrey DeMunn
Karey Kirkpatrick,Ronny Cox,Stephen Root,Imagine That ,Richard Schiff
James Bobin,Tina Fey,Ty Burrell,Muppets Most Wanted ,Hugh Bonneville
Jonathan Frakes,Philip Winchester,Sophia Myles,Thunderbirds ,Brady Corbet
Steve Antin,Peter Gallagher,Eric Dane,Burlesque ,David Walton
Jean-Pierre Jeunet,André Dussollier,Denis Lavant,A Very Long Engagement ,Albert Dupontel
Stanley Kubrick,Shelley Winters,James Mason,Lolita ,Lois Maxwell
Jim Gillespie,Tom Berenger,Sylvester Stallone,Eye See You ,Charles S. Dutton
Guillermo del Toro,Thomas Kretschmann,Norman Reedus,Blade II ,Tony Curran
Gabriele Muccino,Rosario Dawson,Will Smith,Seven Pounds ,Madison Pettis
Walter Hill,Jason Momoa,Sylvester Stallone,Bullet to the Head ,Jon Seda
Francis Ford Coppola,Joe Mantegna,Al Pacino,The Godfather: Part III ,Bridget Fonda
Cameron Crowe,Kirsten Dunst,Orlando Bloom,Elizabethtown ,Judy Greer
Anthony Russo,Billy Gardell,Todd Stashwick,"You, Me and Dupree ",Amanda Detmer
Richard Lester,Ned Beatty,Margot Kidder,Superman II ,Jackie Cooper
Martin Brest,Lenny Venito,Todd Giebenhain,Gigli ,David Backus
Steven Zaillian,Anthony Hopkins,Kate Winslet,All the King's Men ,Kevin Dunn
John Singleton,Vanessa Williams,Christian Bale,Shaft ,Daniel von Bargen
Don Bluth,Kelsey Grammer,Kirsten Dunst,Anastasia ,Bernadette Peters
Baz Luhrmann,Kylie Minogue,Jim Broadbent,Moulin Rouge! ,Richard Roxburgh
Harold Becker,Teri Polo,Steve Buscemi,Domestic Disturbance ,Matt O'Leary
Scott Cooper,Benedict Cumberbatch,Johnny Depp,Black Mass ,Adam Scott
Clint Eastwood,Chris Bauer,Paul Walker,Flags of Our Fathers ,Tom McCarthy
F. Gary Gray,Leslie Bibb,Gerard Butler,Law Abiding Citizen ,Michael Kelly
Robert Rodriguez,Rosario Dawson,Quentin Tarantino,Grindhouse ,Zoë Bell
Jonathan Demme,Kimberly Elise,Oprah Winfrey,Beloved ,Hill Harper
Curtis Hanson,Robert Duvall,Robert Downey Jr.,Lucky You ,Kelvin Han Yee
Steven Spielberg,Tom Hanks,Leonardo DiCaprio,Catch Me If You Can ,Jennifer Garner
Kathryn Bigelow,Harold Perrineau,Jennifer Ehle,Zero Dark Thirty ,Parker Sawyers
Peyton Reed,John Michael Higgins,Jon Favreau,The Break-Up ,Ann-Margret
Phyllida Lloyd,Meryl Streep,Colin Firth,Mamma Mia! ,Julie Walters
Garry Marshall,Taylor Lautner,Bradley Cooper,Valentine's Day ,Anne Hathaway
Jay Chandrasekhar,Jessica Simpson,Alice Greczyn,The Dukes of Hazzard ,Michael Weston
Terrence Malick,Miranda Otto,Nick Stahl,The Thin Red Line ,Dash Mihok
David Dobkin,Olivia Wilde,Ryan Reynolds,The Change-Up ,Mircea Monroe
Milos Forman,Gerry Becker,Matt Price,Man on the Moon ,Tom Dreesen
Martin Scorsese,Don Rickles,Robert De Niro,Casino ,Kevin Pollak
Pierre Morel,Amber Rose Revah,Kasia Smutniak,From Paris with Love ,Rebecca Dayan
Paul Hunter,Mako,Jaime King,Bulletproof Monk ,Victoria Smurfit
Bobby Farrelly,Tony Cox,Robert Forster,"Me, Myself & Irene ",Rob Moran
Steve Oedekerk,Wanda Sykes,Rob Paulsen,Barnyard ,Maurice LaMarche
John Whitesell,Jorge Garcia,Matthew Broderick,Deck the Halls ,Alia Shawkat
Chris Weitz,Kristen Stewart,Robert Pattinson,The Twilight Saga: New Moon ,Taylor Lautner
Andrew Adamson,Chris Miller,Kathleen Freeman,Shrek ,Bobby Block
George Nolfi,Michael Kelly,Matt Damon,The Adjustment Bureau ,Jon Stewart
Kevin Reynolds,Morgan Freeman,Alan Rickman,Robin Hood: Prince of Thieves ,Michael Wincott
Cameron Crowe,Kelly Preston,Tom Cruise,Jerry Maguire ,Bonnie Hunt
Seth MacFarlane,Seth MacFarlane,Mila Kunis,Ted ,Tom Skerritt
James L. Brooks,Yeardley Smith,Lupe Ontiveros,As Good as It Gets ,Shirley Knight
Tom Shadyac,Philip Seymour Hoffman,Robin Williams,Patch Adams ,Monica Potter
Adam McKay,Will Ferrell,Harrison Ford,Anchorman 2: The Legend Continues ,Steve Carell
Steven Brill,Adam Sandler,Steve Buscemi,Mr. Deeds ,Peter Gallagher
J.J. Abrams,AJ Michalka,Joel Courtney,Super 8 ,Zach Mills
Steven Soderbergh,Albert Finney,Julia Roberts,Erin Brockovich ,Conchata Ferrell
Donald Petrie,Adam Goldberg,Matthew McConaughey,How to Lose a Guy in 10 Days ,Thomas Lennon
Phil Lord,Craig Roberts,Channing Tatum,22 Jump Street ,Amber Stevens West
Neil Jordan,Tom Cruise,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,Kirsten Dunst
Peyton Reed,Zooey Deschanel,Bradley Cooper,Yes Man ,Danny Masterson
Rawson Marshall Thurber,Thomas Kretschmann,Dwayne Johnson,Central Intelligence ,Megan Park
Chris Columbus,Liam Aiken,Julia Roberts,Stepmom ,Herbert Russell
Sean Anders,Linda Cardellini,Will Ferrell,Daddy's Home ,Mark L. Young
Rob Marshall,Meryl Streep,Johnny Depp,Into the Woods ,Anna Kendrick
Spike Lee,James Ransone,Denzel Washington,Inside Man ,Peter Gerety
Brian Helgeland,Deborah Kara Unger,Bill Duke,Payback ,William Devane
Frank Marshall,Joe Don Baker,Dylan Walsh,Congo ,Grant Heslov
Cameron Crowe,Matt Damon,Scarlett Johansson,We Bought a Zoo ,Stephanie Szostak
Alex Proyas,Ben Mendelsohn,Nicolas Cage,Knowing ,Chandler Canterbury
Tom Dey,Matthew McConaughey,Bradley Cooper,Failure to Launch ,Zooey Deschanel
Hideo Nakata,Gary Cole,Naomi Watts,The Ring Two ,Sissy Spacek
Glenn Ficarra,Emma Stone,Ryan Gosling,"Crazy, Stupid, Love. ",Steve Carell
Peter Hewitt,Mark Christopher Lawrence,Bill Murray,Garfield ,Michael Monks
Joe Roth,Cheech Marin,Jamie Lee Curtis,Christmas with the Kranks ,Jake Busey
Bennett Miller,Robin Wright,Philip Seymour Hoffman,Moneyball ,Brad Pitt
Wolfgang Petersen,Morgan Freeman,Kevin Spacey,Outbreak ,Rene Russo
Jaume Collet-Serra,Nate Parker,Liam Neeson,Non-Stop ,Scoot McNairy
Andy Fickman,Billy Brown,Dwayne Johnson,Race to Witch Mountain ,Tom Everett Scott
James McTeigue,Eddie Marsan,Natalie Portman,V for Vendetta ,Rupert Graves
David Dobkin,Anna-Louise Plowman,Fann Wong,Shanghai Knights ,Georgina Chapman
,,,,
Matthew O'Callaghan,Frank Welker,Will Ferrell,Curious George ,Alexander Gould
Angela Robinson,Thomas Lennon,Scoot McNairy,Herbie Fully Loaded ,Cheryl Hines
Gary Fleder,Jennifer Esposito,Oliver Platt,Don't Say a Word ,Conrad Goode
Tommy Wirkola,Derek Mears,Jeremy Renner,Hansel & Gretel: Witch Hunters ,Ingrid Bolsø Berdal
Adrian Lyne,Erik Per Sullivan,Olivier Martinez,Unfaithful ,Chad Lowe
D.J. Caruso,Emily Wickersham,Alex Pettyfer,I Am Number Four ,Reuben Langdon
Stephen Gaghan,Amr Waked,Matt Damon,Syriana ,Kayvan Novak
Michael Bay,James Badge Dale,Toby Stephens,13 Hours ,David Costabile
Jorge R. Gutiérrez,Hector Elizondo,Channing Tatum,The Book of Life ,Ana de la Reguera
Richard Loncraine,Harrison Ford,Jimmy Bennett,Firewall ,Mary Lynn Rajskub
Clint Eastwood,Mark Margolis,Clint Eastwood,Absolute Power ,Scott Glenn
Ridley Scott,Demi Moore,Viggo Mortensen,G.I. Jane ,John Michael Higgins
David Fincher,Armin Mueller-Stahl,Deborah Kara Unger,The Game ,Charles Martinet
Christophe Gans,Deborah Kara Unger,Radha Mitchell,Silent Hill ,Alice Krige
Howard Deutch,Jon Favreau,Keanu Reeves,The Replacements ,Faizon Love
Jon Hurwitz,Dania Ramirez,Alyson Hannigan,American Reunion ,Natasha Lyonne
F. Gary Gray,Michael Cudlitz,Kevin Spacey,The Negotiator ,Siobhan Fallon Hogan
Steven Quale,Alycia Debnam-Carey,Matt Walsh,Into the Storm ,Scott Lawrence
John Landis,Jon Tenney,Louis Lombardi,Beverly Hills Cop III ,Gilbert R. Hill
Joe Dante,Robert Picardo,Christopher Lee,Gremlins 2: The New Batch ,Phoebe Cates
David Dobkin,Robert Duvall,Robert Downey Jr.,The Judge ,Leighton Meester
Mimi Leder,Holt McCallany,Armin Mueller-Stahl,The Peacemaker ,Marcel Iures
Alexander Witt,Thomas Kretschmann,Milla Jovovich,Resident Evil: Apocalypse ,Mike Epps
Beeban Kidron,Jim Broadbent,Colin Firth,Bridget Jones: The Edge of Reason ,Celia Imrie
Carl Franklin,Sanaa Lathan,Denzel Washington,Out of Time ,John Billingsley
Steven Seagal,Joan Chen,Mike Starr,On Deadly Ground ,Sven-Ole Thorsen
Robert Rodriguez,Kristin Davis,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D ,Taylor Dooley
Danny Boyle,Virginie Ledoyen,Leonardo DiCaprio,The Beach ,Peter Youngblood Hills
Garry Marshall,Felicity Huffman,Amber Valletta,Raising Helen ,Spencer Breslin
James McTeigue,Ben Miles,Shô Kosugi,Ninja Assassin ,Rain
Sam Raimi,Kelly Preston,J.K. Simmons,For Love of the Game ,Carmine Giovinazzo
,,,,
Andrew Bergman,Rumer Willis,Demi Moore,Striptease ,Paul Guilfoyle
Tom Dey,Judy Greer,Emma Stone,Marmaduke ,Steve Coogan
Clint Eastwood,Jay Mohr,Matt Damon,Hereafter ,Cécile De France
Barbet Schroeder,Chris Penn,Ryan Gosling,Murder by Numbers ,Agnes Bruckner
Richard Donner,Sylvester Stallone,Muse Watson,Assassins ,Kelly Rowan
Peter Webber,Stephen Walters,Li Gong,Hannibal Rising ,Richard Brake
Rob Reiner,Tim Matheson,Bruce Willis,The Story of Us ,Rita Wilson
Andrew Niccol,Chandler Canterbury,J.D. Evermore,The Host ,Rachel Roberts
John McTiernan,Harry Connick Jr.,Connie Nielsen,Basic ,Tim Daly
Clint Eastwood,Anjelica Huston,Clint Eastwood,Blood Work ,Rick Hoffman
Tom Tykwer,Brían F. O'Byrne,Naomi Watts,The International ,Armin Mueller-Stahl
John Carpenter,Valeria Golino,Steve Buscemi,Escape from L.A. ,Michelle Forbes
,,,,
Brad Bird,Harry Connick Jr.,Vin Diesel,The Iron Giant ,M. Emmet Walsh
Wes Anderson,Anjelica Huston,Bill Murray,The Life Aquatic with Steve Zissou ,Matthew Gray Gubler
Gary Ross,Donald Watkins,Matthew McConaughey,Free State of Jones ,Jessica Collins
Alan Parker,Kate Winslet,Kevin Spacey,The Life of David Gale ,Matt Craven
Stephen Herek,Vanessa Ferlito,Christina Milian,Man of the House ,Kelli Garner
Jaume Collet-Serra,Common,Liam Neeson,Run All Night ,Bruce McGill
David Cronenberg,Naomi Watts,Viggo Mortensen,Eastern Promises ,Raza Jaffrey
John Stockwell,James Frain,Paul Walker,Into the Blue ,Ashley Scott
Luc Besson,David Bailie,Paul Brooke,The Messenger: The Story of Joan of Arc ,Rab Affleck
David Gordon Green,Zooey Deschanel,Natalie Portman,Your Highness ,James Franco
Jim Sheridan,Gregory Smith,Naomi Watts,Dream House ,Sarah Gadon
Costa-Gavras,Blythe Danner,Mia Kirshner,Mad City ,William Atherton
Patrick Read Johnson,Lara Flynn Boyle,Joe Mantegna,Baby's Day Out ,Cynthia Nixon
Roland Joffé,Robert Duvall,Gary Oldman,The Scarlet Letter ,Demi Moore
Doug Liman,Ty Burrell,Naomi Watts,Fair Game ,Brooke Smith
,,,,
Tony Scott,Mo'Nique,Ian Ziering,Domino ,Edgar Ramírez
William Friedkin,Chazz Palminteri,Michael Biehn,Jade ,Linda Fiorentino
Mark Neveldine,Logan Lerman,Gerard Butler,Gamer ,Alison Lohman
Richard LaGravenese,Zoey Deutch,Alden Ehrenreich,Beautiful Creatures ,Pruitt Taylor Vince
Danny DeVito,Vincent Schiavelli,Robin Williams,Death to Smoochy ,Danny Woodburn
Ben Stiller,Will Ferrell,Milla Jovovich,Zoolander 2 ,Justin Theroux
George Armitage,Andrew Wilson,Morgan Freeman,The Big Bounce ,Willie Nelson
Mike Nichols,Linda Fiorentino,Judy Greer,What Planet Are You From? ,Garry Shandling
Patrick Lussier,Billy Burke,Nicolas Cage,Drive Angry ,Katy Mixon
Andrzej Bartkowiak,Robin Shou,Chris Klein,Street Fighter: The Legend of Chun-Li ,Josie Ho
James Wong,Jet Li,Jason Statham,The One ,Delroy Lindo
,,,,
Renny Harlin,Gilbert Gottfried,Lauren Holly,The Adventures of Ford Fairlane ,David Patrick Kelly
Richard Curtis,Charlie Rowe,Philip Seymour Hoffman,Pirate Radio ,Tom Sturridge
Steven Soderbergh,Jacob Vargas,Michael O'Neill,Traffic ,James Lew
Steven Spielberg,Julian Glover,Harrison Ford,Indiana Jones and the Last Crusade ,Alison Doody
Joe Wright,Guro Nagelhus Schia,Kelly Macdonald,Anna Karenina ,Matthew Macfadyen
Neill Blomkamp,Sharlto Copley,Hugh Jackman,Chappie ,Jose Pablo Cantillo
Phillip Noyce,Angelina Jolie Pitt,Denzel Washington,The Bone Collector ,Leland Orser
David Fincher,Dwight Yoakam,Kristen Stewart,Panic Room ,Mel Rodriguez
Chuck Bowman,Lochlyn Munro,P.J. Soles,The Tooth Fairy ,Steve Bacic
David O. Russell,Jamie Kennedy,Judy Greer,Three Kings ,Mykelti Williamson
Daniel Espinosa,Fares Fares,Tom Hardy,Child 44 ,Michael Nardone
Jerry Zucker,Douglas Haase,Corinna Harney,Rat Race ,Vince Vieluf
Iain Softley,Jeff Bridges,Kevin Spacey,K-PAX ,Alfre Woodard
James Mangold,Natasha Lyonne,Hugh Jackman,Kate & Leopold ,Bradley Whitford
Harold Ramis,Frances O'Connor,Brendan Fraser,Bedazzled ,Brian Doyle-Murray
Francis Ford Coppola,Bob Hoskins,Nicolas Cage,The Cotton Club ,Fred Gwynne
James Mangold,Logan Lerman,Christian Bale,3:10 to Yuma ,Gretchen Mol
Olivier Megaton,Dougray Scott,Liam Neeson,Taken 3 ,Jon Gries
Steven Soderbergh,Albert Brooks,Don Cheadle,Out of Sight ,Keith Hudson
Ben Stiller,Janeane Garofalo,Matthew Broderick,The Cable Guy ,Andy Dick
Deepa Mehta,Gulshan Grover,Nandita Das,Earth ,Eric Peterson
Warren Beatty,Warren Beatty,Charlie Korsmo,Dick Tracy ,Seymour Cassel
John McTiernan,Faye Dunaway,Mark Margolis,The Thomas Crown Affair ,Denis Leary
Penny Marshall,Adam Garcia,Rosie Perez,Riding in Cars with Boys ,Alissa Dean
Ted Kotcheff,Brian Dennehy,Sylvester Stallone,First Blood ,Chris Mulkey
Andrei Tarkovsky,Anatoliy Solonitsyn,Donatas Banionis,Solaris ,Natalya Bondarchuk
Paul Bolger,George Carlin,Sarah Michelle Gellar,Happily N'Ever After ,Rob Paulsen
Stephen Frears,Bronagh Gallagher,Julia Roberts,Mary Reilly ,George Cole
P.J. Hogan,Christopher Masterson,Julia Roberts,My Best Friend's Wedding ,Rupert Everett
Joe Roth,Rainn Wilson,Julia Roberts,America's Sweethearts ,Larry King
Christopher Nolan,Maura Tierney,Al Pacino,Insomnia ,Crystal Lowe
Jonathan Frakes,Alfre Woodard,LeVar Burton,Star Trek: First Contact ,Jonathan Frakes
Jimmy Hayward,Billy Blair,Michael Fassbender,Jonah Hex ,Julia Jones
Edward Zwick,Matt Damon,Denzel Washington,Courage Under Fire ,Scott Glenn
Tom Shadyac,Swoosie Kurtz,Maura Tierney,Liar Liar ,Randall 'Tex' Cobb
Brad Furman,Amy Ryan,Joseph Gilgun,The Infiltrator ,Olympia Dukakis
Terence Young,Ben Gazzara,Laurence Olivier,Inchon ,Jacqueline Bisset
Brian Levant,Elizabeth Perkins,Jonathan Winters,The Flintstones ,Harvey Korman
Olivier Megaton,Luke Grimes,Liam Neeson,Taken 2 ,D.B. Sweeney
David Zucker,Pamela Anderson,Regina Hall,Scary Movie 3 ,Jenny McCarthy
Donald Petrie,Wendy Raquel Robinson,Candice Bergen,Miss Congeniality ,Heather Burns
Eric Brevig,Brendan Fraser,Josh Hutcherson,Journey to the Center of the Earth ,Anita Briem
Garry Marshall,Raven-Symoné,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,Hector Elizondo
Alan J. Pakula,Julia Roberts,Denzel Washington,The Pelican Brief ,Tony Goldwyn
Joel Schumacher,Anthony LaPaglia,Bradley Whitford,The Client ,Brad Renfro
Rob Reiner,Noel Gugliemi,Morgan Freeman,The Bucket List ,Sean Hayes
Phillip Noyce,Polly Walker,Harrison Ford,Patriot Games ,Patrick Bergin
Robert Luketic,Jane Fonda,Adam Scott,Monster-in-Law ,Elaine Stritch
Denis Villeneuve,Jake Gyllenhaal,Hugh Jackman,Prisoners ,Dylan Minnette
Antoine Fuqua,Snoop Dogg,Denzel Washington,Training Day ,Tom Berenger
Dean Parisot,Enrico Colantoni,Alan Rickman,Galaxy Quest ,Robin Sachs
Keenen Ivory Wayans,Veronica Cartwright,Natasha Lyonne,Scary Movie 2 ,Andy Richter
James Bobin,Eric Jacobson,Bill Cobbs,The Muppets ,Steve Whitmire
Stephen Norrington,Traci Lords,Sanaa Lathan,Blade ,Udo Kier
Thomas Carter,Rick Gonzalez,Channing Tatum,Coach Carter ,Robert Ri'chard
Roger Michell,Matt Malloy,Sydney Pollack,Changing Lanes ,Bruce Altman
Luis Llosa,Eric Stoltz,Frank Welker,Anaconda ,Kari Wuhrer
David McNally,Tyra Banks,Adam Garcia,Coyote Ugly ,Izabella Miko
Richard Curtis,Liam Neeson,Colin Firth,Love Actually ,Kris Marshall
John Lasseter,Madeline Kahn,Kevin Spacey,A Bug's Life ,John Ratzenberger
Albert Hughes,Jason Flemyng,Johnny Depp,From Hell ,Ian Richardson
Luis Llosa,Rod Steiger,Sylvester Stallone,The Specialist ,Emilio Estefan Jr.
Ron Shelton,Cheech Marin,Don Johnson,Tin Cup ,Rene Russo
Melville Shavelson,Tom Bosley,Lucille Ball,"Yours, Mine and Ours ",Tim Matheson
Jesse Dylan,Will Ferrell,Josh Hutcherson,Kicking & Screaming ,Robert Duvall
Garth Jennings,Kelly Macdonald,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,Thomas Lennon
Joel Zwick,Nick Zano,Dania Ramirez,Fat Albert ,Alice Greczyn
Russell Mulcahy,Mike Epps,Milla Jovovich,Resident Evil: Extinction ,James Tumminia
Frank Coraci,Adam Sandler,Bella Thorne,Blended ,Joel McHale
Wayne Wang,Alicia Witt,LL Cool J,Last Holiday ,Timothy Hutton
Curtis Hanson,Glenn Morshower,Meryl Streep,The River Wild ,William Lucking
Frank Oz,Vincent Kartheiser,Steve Coogan,The Indian in the Cupboard ,David Keith
Oliver Stone,Shea Whigham,Demián Bichir,Savages ,Gary Stretch
David R. Ellis,Valerie Cruz,Richard Burgi,Cellular ,Will Beinbrink
Peter Howitt,Natalie Imbruglia,Kevin McNally,Johnny English ,Ben Miller
John A. Davis,Meryl Streep,Nicolas Cage,The Ant Bully ,Julia Roberts
David Lynch,Jürgen Prochnow,Virginia Madsen,Dune ,José Ferrer
Julie Taymor,T.V. Carpio,Jim Sturgess,Across the Universe ,Robert Clohessy
Sam Mendes,Kate Winslet,Leonardo DiCaprio,Revolutionary Road ,Joe Komara
Richard Donner,David Zayas,Bruce Willis,16 Blocks ,Sasha Roiz
Mathieu Kassovitz,Charlotte Rampling,Vin Diesel,Babylon A.D. ,David Belle
John Gray,Bob Gunton,Alexa PenaVega,The Glimmer Man ,Keenen Ivory Wayans
Harold Ramis,Brian Doyle-Murray,John de Lancie,Multiplicity ,Obba Babatundé
John Schultz,Carter Jenkins,Malese Jow,Aliens in the Attic ,Tim Meadows
Sean Penn,Adrien Dorval,Costas Mandylor,The Pledge ,Nels Lennarson
Susan Stroman,Will Ferrell,Jon Lovitz,The Producers ,Matthew Broderick
Pete Travis,Jason Cope,Wood Harris,Dredd ,Rakie Ayola
Simon Wincer,Treat Williams,Cary-Hiroyuki Tagawa,The Phantom ,Kristy Swanson
Billy Bob Thornton,Henry Thomas,Matt Damon,All the Pretty Horses ,Sam Shepard
Oliver Stone,Bob Hoskins,Anthony Hopkins,Nixon ,Joan Allen
Roman Polanski,Olivia Williams,Jim Belushi,The Ghost Writer ,Timothy Hutton
Stephen Sommers,Jason Flemyng,Djimon Hounsou,Deep Rising ,Wes Studi
Spike Lee,Omari Hardwick,Joseph Gordon-Levitt,Miracle at St. Anna ,Laz Alonso
Yimou Zhang,Ye Liu,Li Gong,Curse of the Golden Flower ,Man Li
Danny Pang,Charlie Yeung,Nicolas Cage,Bangkok Dangerous ,James With
Barry Sonnenfeld,Janeane Garofalo,Zooey Deschanel,Big Trouble ,Omar Epps
Mike Newell,Giovanna Mezzogiorno,Marcela Mar,Love in the Time of Cholera ,Unax Ugalde
,,,,
George P. Cosmatos,Ben Gazzara,Sam Waterston,Shadow Conspiracy ,Nicholas Turturro
Oliver Parker,Tim McInnerny,Daniel Kaluuya,Johnny English Reborn ,Togo Igawa
Lawrence Kasanoff,Larry Miller,Jerry Stiller,Foodfight! ,Harvey Fierstein
Ben Affleck,Scoot McNairy,Clea DuVall,Argo ,Tate Donovan
Andrew Davis,Daniel Roebuck,Harrison Ford,The Fugitive ,Sela Ward
Andy Tennant,Dorian Missick,Gerard Butler,The Bounty Hunter ,Peter Greene
Barry Levinson,Brad Pitt,Robert De Niro,Sleepers ,Minnie Driver
George P. Cosmatos,Julia Nickson,Sylvester Stallone,Rambo: First Blood Part II ,Martin Kove
Brian Gibson,Demi Moore,Joseph Gordon-Levitt,The Juror ,Anne Heche
Norman Ferguson,Dickie Jones,Mel Blanc,Pinocchio ,Cliff Edwards
Michael Cimino,Sam Waterston,Jeff Bridges,Heaven's Gate ,Isabelle Huppert
Len Wiseman,Tony Curran,Sophia Myles,Underworld: Evolution ,Derek Jacobi
Paul McGuigan,Spencer Wilding,Daniel Radcliffe,Victor Frankenstein ,Daniel Mays
Gus Van Sant,Rob Brown,F. Murray Abraham,Finding Forrester ,Michael Nouri
Betty Thomas,Viggo Mortensen,Steve Buscemi,28 Days ,Elizabeth Perkins
Louis Leterrier,Jet Li,Morgan Freeman,Unleashed ,Bob Hoskins
Roger Kumble,Lillian Adams,Judith Chapman,The Sweetest Thing ,Chelsea Bond
Sydney Pollack,Holly Hunter,Tom Cruise,The Firm ,Wilford Brimley
Burr Steers,Charlie Tahan,Augustus Prew,Charlie St. Cloud ,Valerie Tian
Simon West,Tony Goldwyn,Jason Statham,The Mechanic ,Mini Anden
Phil Lord,Dax Flame,Channing Tatum,21 Jump Street ,Rob Riggle
Roger Michell,Clarke Peters,Julia Roberts,Notting Hill ,Dylan Moran
Peter Lord,Miranda Richardson,Imelda Staunton,Chicken Run ,Julia Sawalha
John Hamburg,Masi Oka,Philip Seymour Hoffman,Along Came Polly ,Debra Messing
Reginald Hudlin,Eartha Kitt,John Witherspoon,Boomerang ,Geoffrey Holder
Paul Feig,William Xifaras,Michael Rapaport,The Heat ,Demián Bichir
Joseph L. Mankiewicz,Richard Burton,Martin Landau,Cleopatra ,Roddy McDowall
Frank Coraci,Reggie Lee,Salma Hayek,Here Comes the Boom ,Charice
Carl Franklin,Adam Scott,Morgan Freeman,High Crimes ,Bruce Davison
Barbra Streisand,Austin Pendleton,Jeff Bridges,The Mirror Has Two Faces ,Mimi Rogers
Mark Pellington,Will Patton,Debra Messing,The Mothman Prophecies ,David Eigenberg
Larry Charles,Elton John,Bono,Brüno ,Slash
John Glen,Talisa Soto,Robert Davi,Licence to Kill ,Anthony Zerbe
Catherine Hardwicke,Billy Burke,Gary Oldman,Red Riding Hood ,Virginia Madsen
John Herzfeld,Charlize Theron,Robert De Niro,15 Minutes ,Kelsey Grammer
Annabel Jankel,Fisher Stevens,Bob Hoskins,Super Mario Bros. ,Fiona Shaw
Andrew Niccol,Jeremy Crutchley,Nicolas Cage,Lord of War ,Jared Burke
Yimou Zhang,Tony Chiu Wai Leung,Jet Li,Hero ,Maggie Cheung
Julie Anne Robinson,Debbie Reynolds,Fisher Stevens,One for the Money ,Patrick Fischler
Evan Goldberg,Randall Park,James Franco,The Interview ,Anders Holm
Sngmoo Lee,Dong-gun Jang,Tony Cox,The Warrior's Way ,Jed Brophy
,,,,
Jean-Pierre Jeunet,Dany Boon,Omar Sy,Micmacs ,André Dussollier
Curtis Hanson,Omar Benson Miller,Mekhi Phifer,8 Mile ,Evan Jones
Jamel Debbouze,Youssef Hajdi,Jamel Debbouze,Animal Kingdom: Let's go Ape ,Mélissa Theuriau
Brian Helgeland,Rufus Sewell,Heath Ledger,A Knight's Tale ,Bérénice Bejo
Gordon Chan,Lee Evans,Julian Sands,The Medallion ,Anthony Chau-Sang Wong
M. Night Shyamalan,Haley Joel Osment,Bruce Willis,The Sixth Sense ,Olivia Williams
Asger Leth,Mandy Gonzalez,Robert Clohessy,Man on a Ledge ,J. Smith-Cameron
David Frankel,Kevin Pollak,Joel McHale,The Big Year ,JoBeth Williams
John G. Avildsen,William Zabka,Martin Kove,The Karate Kid ,William Bassett
